project,result,command
One Ring,FALSE,python3 defi_tainter.py -bp Fantom -la 0xc06826f52f29b34c5d8b2c61abf844cebcf78abf -sa 0x4e332d616b5ba1edfd87c899e534d996c336a2fc -fs 0x00f714ce -bn 34041500
Discover,FALSE,python3 defi_tainter.py -bp BSC -la 0xe732a7bd6706cbd6834b300d7c56a8d2096723a7 -sa 0xe732a7bd6706cbd6834b300d7c56a8d2096723a7 -fs 0x7271479a -bn 18446846
EGD Finance,TRUE,python3 defi_tainter.py -bp BSC -la 0x93c175439726797dcee24d08e4ac9164e88e7aee -sa 0x34bd6dba456bc31c2b3393e499fa10bed32a9370 -fs 0x8a623d86 -bn 20245540
Nereus Finance,TRUE,python3 defi_tainter.py -bp Avalanche -la 0xe767c6c3bf42f550a5a258a379713322b6c4c060 -sa 0xc0a7a7f141b6a5bce3ec1b81823c8afa456b6930 -fs 0x656f3d64 -bn 19613453
BXH,FALSE,python3 defi_tainter.py -bp BSC -la 0x27539b1dee647b38e1b987c41c5336b1a8dce663 -sa 0x27539b1dee647b38e1b987c41c5336b1a8dce663 -fs 0xe2bbb158 -bn 21727290
ATK (Journey of Awakening),FALSE,python3 defi_tainter.py -bp BSC -la 0x9cb928bf50ed220ac8f703bce35be5ce7f56c99c -sa 0x9cb928bf50ed220ac8f703bce35be5ce7f56c99c -fs 0x8a809095 -bn 22102839
Inuko Finance,FALSE,python3 defi_tainter.py -bp BSC -la 0x09beddae85a9b5ada57a5bd7979bb7b3dd08b538 -sa 0x09beddae85a9b5ada57a5bd7979bb7b3dd08b538 -fs 0xc2ca269a -bn 22226575
MU&MUG,TRUE,python3 defi_tainter.py -bp Avalanche -la 0x4aa679402c6afce1e0f7eb99ca4f09a30ce228ab -sa 0x4aa679402c6afce1e0f7eb99ca4f09a30ce228ab -fs 0x9b594f51 -bn 23435295
Lodestar,FALSE,python3 defi_tainter.py -bp Arbitrum -la 0x8f2354f9464514efdae441314b8325e97bf96cdc -sa 0xcc25dac54a1a62061b596fd3baf7d454f34c56ff -fs 0xc5ebeaec -bn 45121904
Nimbus Platform,FALSE,python3 defi_tainter.py -bp BSC -la 0x3aa2b9de4ce397d93e11699c3f07b769b210bbd5 -sa 0x3aa2b9de4ce397d93e11699c3f07b769b210bbd5 -fs 0x3d18b912 -bn 23886615
RoeFinance,FALSE,python3 defi_tainter.py -bp ETH -la 0x574ff39184dee9e46f6c3229b95e0e0938e398d0 -sa 0x5f360c6b7b25dfbfa4f10039ea0f7ecfb9b02e60 -fs 0xa415bcad -bn 16384470
